Sites to search,Reliability,Oped?,Pay?,Notes,timestamp,score,Label,name,AdditionalData,attribute,value
+ACo-.venturebeat.com/+ACo-,Perennial,N,Y,,0x00061a1534d2b310,1,,+AF8-include+AF8-,,original+AF8-url,venturebeat.com
+ACo-.voanews.com/+ACo-,Perennial,N,N,,0x00061a15351103bb,1,,+AF8-include+AF8-,,original+AF8-url,voanews.com
+ACo-.vogue.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a1534fc98da,1,,+AF8-include+AF8-,,original+AF8-url,vogue.com
+ACo-.vox.com/+ACo-,Perennial,Y / Y,Y,,0x00061a149afa1654,1,,+AF8-include+AF8-,,original+AF8-url,Vox.com
+ACo-.vulture.com/+ACo-,Perennial,N,Y,,,,,,,,
+ACo-.wabe.org/+ACo-,INN,N,N,,,,,,,,
+ACo-.washingtonpost.com/+ACo-,Perennial,Y,Y,,0x00061a149afa1a2c,1,,+AF8-include+AF8-,,original+AF8-url,washingtonpost.com
+ACo-.wfae.org/+ACo-,INN,Y / Y,N,,,,,,,,
+ACo-.whyy.org/+ACo-,INN,Y+ACo-,N,,,,,,,,
+ACo-.wired.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a15354f6780,1,,+AF8-include+AF8-,,original+AF8-url,wired.com
+ACo-.wnyc.org/+ACo-,INN,N?,N,,,,,,,,
+ACo-.wsj.com/+ACo-,Perennial,Y+ACo-,Y,,0x00061a149afa1c64,1,,+AF8-include+AF8-,,original+AF8-url,WSJ.com
+ACo-.wyborcza.pl/+ACo-,Perennial,Y+ACo-,Y,Seems sensationalist,0x00061a14f40e9b0e,1,,+AF8-include+AF8-,,original+AF8-url,wyborcza.pl
+ACo-.yle.fi/news/+ACo-,State Media Monitor,N,N,,,,,,,,
https://probe.ph/+ACo-,IFCN,N,N,,,,,,,,
https://www.dubawa.org/+ACo-,IFCN,N,N,,,,,,,,
https://www.lrt.lt/en/+ACo-,IFCN,N,N,,,,,,,,
https://www.fatabyyano.net/en/+ACo-,IFCN,N,N,,,,,,,,
https://apnews.com/+ACo-fact+AC0-check+ACo-,Perennial,N,N,,,,,,,,
http://www.vishvasnews.com/+ACo-fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://211check.org/+ACo-,IFCN,N,N,,,,,,,,
http://annielab.org/+ACo-,IFCN,N,N,,,,,,,,
https://www.aap.com.au/factcheck+ACo-,IFCN,N,N,,,,,,,,
http://www.boomlive.in/fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
http://checkyourfact.com/+ACo-,IFCN,N,N,,,,,,,,
https://www.dw.com/+ACo-fact+AC0-check+ACo-,Perennial,N,N,,,,,,,,
https://dfrac.org/+ACo-fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://www.wisconsinwatch.org/+ACo-,IFCN,N,N,,,,,,,,
https://verafiles.org/+ACo-fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://www.usatoday.com/+ACo-factcheck+ACo-,Perennial,N,N,,,,,,,,
https://www.washingtonpost.com/+ACo-fact+AC0-check/+ACo-,Perennial,N,N,,,,,,,,
http://www.thejournal.ie/factcheck+ACo-,IFCN,N,N,,,,,,,,
https://www.thequint.com/+ACo-webqoof+ACo-,IFCN,N,N,,,,,,,,
https://tsmliberia.com/+ACo-,IFCN,N,N,,,,,,,,
https://www.thecanadianpressnews.ca/fact+AC0-checking+ACo-,IFCN,N,N,,,,,,,,
https://thedispatch.com/+ACo-fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://www.thip.media/+ACo-fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://www.indiatoday.in/fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://www.sochfactcheck.com/+ACo-,IFCN,N,N,,,,,,,,
https://digiteye.in/+ACo-,IFCN,N,N,,,,,,,,
https://www.snopes.com/+ACo-,Perennial,N,N,,,,,,,,
https://science.feedback.org/+ACo-,IFCN,N,N,,,,,,,,
+ACo-.reuters.com/fact+AC0-check+ACo-,Perennial,N,N,,,,,,,,
https://www.rmit.edu.au/+ACo-factlab+ACo-,IFCN,N,N,,,,,,,,
https://www.rmit.edu.au/+ACo-crosscheck+ACo-,IFCN,N,N,,,,,,,,
http://www.abc.net.au/+ACo-factcheck/+ACo-,Perennial,N,N,,,,,,,,
https://pressone.ph/fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://www.ptinews.com/factcheck+ACo-,IFCN,N,N,,,,,,,,
http://www.politifact.com/+ACo-,Perennial,N,N,,,,,,,,
https://pesacheck.org/+ACo-,IFCN,N,N,,,,,,,,
https://pa.media/+ACo-fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://newsmeter.in/fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
http://www.newsmobile.in/+ACo-fact+AC0-check+ACo-,Perennial,N,N,,,,,,,,
https://mythdetector.ge/+ACo-,IFCN,N,N,,,,,,,,
https://www.mindanews.com/+ACo-fact+AC0-check+ACo-,IFCN,N,N,,,,,,,,
https://www.poynter.org/mediawise/+ACo-,IFCN,N,N,,,,,,,,
https://www.logicallyfacts.com/en/+ACo-,IFCN,N,N,,,,,,,,
https://leadstories.com/+ACo-,IFCN,N,N,,,,,,,,
https://nordishub.eu/fact+AC0-checking/+ACo-,IFCN,N,N,,,,,,,,
https://fullfact.org/+ACo-,IFCN,N,N,,,,,,,,
https://firstcheck.in/+ACo-,IFCN,N,N,,,,,,,,
https://theferret.scot/category/fact+AC0-check/+ACo-,IFCN,N,N,,,,,,,,
https://factnameh.com/en/+ACo-,IFCN,N,N,,,,,,,,
https://ghanafact.com/+ACo-,IFCN,N,N,,,,,,,,
https://facta.news/+ACo-,IFCN,N,N,,,,,,,,
https://factcrescendo.com/+ACo-,IFCN,N,N,,,,,,,,
http://factcheck.ge/en+ACo-,IFCN,N,N,,,,,,,,
http://factcheck.org/+ACo-,IFCN,N,N,,,,,,,,
http://factcheckni.org/+ACo-,IFCN,N,N,,,,,,,,
https://factcheckzw.org/+ACo-,IFCN,N,N,,,,,,,,
https://www.fact+AC0-checkghana.com/+ACo-,IFCN,N,N,,,,,,,,
https://factly.in/+ACo-,IFCN,N,N,,,,,,,,
www.digitaltrends.com/+ACo-,Perennial,Y,N,,,,,,,,
+ACo-.newsfromthestates.com/+ACo-,Republished by WP:RS,Y,N,,,,,,,,
https://www.chalkbeat.org/+ACo-,INN,,N,,,,,,,,
https://www.votebeat.org/+ACo-,INN,,N,,,,,,,,
https://www.healthbeat.org/+ACo-,(Likely) INN,,N,,,,,,,,
